,searched,tconst,Title,Available Globally?,Release Date,Hours Viewed,Runtime,Views,Simple_Title,net_year,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres
51,Hotel Transylvania 3: Summer Vacation,tt5220122,Hotel Transylvania 3: Summer Vacation,No,,44200000,1:37,27300000,Hotel Transylvania 3: Summer Vacation,1000.0,movie,Hotel Transylvania 3: Summer Vacation,Hotel Transylvania 3: Summer Vacation,2018,97,"Adventure,Animation,Comedy"
52,The Twister: Caught in the Storm,tt35882698,The Twister: Caught in the Storm,Yes,2025-03-19,40500000,1:29,27300000,The Twister: Caught in the Storm,2025.0,movie,The Twister: Caught in the Storm,The Twister: Caught in the Storm,2025,89,Documentary
53,Sing: Thriller,tt33999453,Sing: Thriller,Yes,2024-10-16,5400000,0:12,27000000,Sing: Thriller,2024.0,short,Sing: Thriller,Sing: Thriller,2024,11,"Animation,Comedy,Family"
54,We Can Be Heroes,tt10600398,We Can Be Heroes,Yes,2020-12-25,45200000,1:41,26900000,We Can Be Heroes,2020.0,movie,We Can Be Heroes,We Can Be Heroes,2020,100,"Action,Animation,Comedy"
56,Titan: The OceanGate Submersible Disaster,tt30977670,Titan: The OceanGate Submersible Disaster,Yes,2025-06-11,49300000,1:52,26400000,Titan: The OceanGate Submersible Disaster,2025.0,,,,,,
55,Sonic the Hedgehog,tt3794354,Sonic the Hedgehog (2020),No,,44500000,1:41,26400000,Sonic the Hedgehog,2020.0,movie,Sonic the Hedgehog,Sonic the Hedgehog,2020,99,"Action,Adventure,Comedy"
1,Dr. Seuss' The Grinch,tt2709692,Dr. Seuss' The Grinch,No,,37100000,1:26,25900000,Dr. Seuss' The Grinch,1000.0,movie,The Grinch,The Grinch,2018.0,85.0,"Animation,Comedy,Family"
58,Trolls Band Together,tt14362112,Trolls Band Together,No,,38600000,1:32,25200000,Trolls Band Together,1000.0,movie,Trolls Band Together,Trolls Band Together,2023,91,"Adventure,Animation,Comedy"
2,Den of Thieves 2: Pantera,tt8008948,Den of Thieves 2: Pantera,No,,59900000,2:24,25000000,Den of Thieves 2: Pantera,1000.0,movie,Den of Thieves: Pantera,Den of Thieves: Pantera,2025.0,144.0,"Action,Crime,Drama"
61,Number 24,tt23782584,Number 24 // Nr. 24,No,2025-01-01,45100000,1:52,24200000,Number 24,2025.0,movie,Nr. 24,Nr. 24,2024,111,"Biography,Drama,War"
60,Inside Man: Most Wanted,tt7832848,Inside Man: Most Wanted,No,,42800000,1:46,24200000,Inside Man: Most Wanted,1000.0,movie,Inside Man: Most Wanted,Inside Man: Most Wanted,2019,105,"Action,Crime,Thriller"
62,Red Notice,tt7991608,Red Notice,Yes,2021-11-12,46600000,1:58,23700000,Red Notice,2021.0,movie,Red Notice,Red Notice,2021,118,"Action,Comedy,Thriller"
63,Shrek the Third,tt0413267,Shrek the Third,No,,36600000,1:35,23100000,Shrek the Third,1000.0,movie,Shrek the Third,Shrek the Third,2007,93,"Adventure,Animation,Comedy"
64,Fear Street: Prom Queen,tt31433402,Fear Street: Prom Queen,Yes,2025-05-23,34400000,1:30,22900000,Fear Street: Prom Queen,2025.0,movie,Fear Street: Prom Queen,Fear Street: Prom Queen,2025,90,"Horror,Mystery,Thriller"
65,Jewel Thief - The Heist Begins,tt27843798,Jewel Thief - The Heist Begins // _____ ___ - The Heist Begins,Yes,2025-04-25,44600000,1:58,22700000,Jewel Thief - The Heist Begins,2025.0,movie,Jewel Thief: The Heist Begins,Jewel Thief: The Heist Begins,2025,116,"Action,Adventure,Thriller"
66,Trainwreck: Poop Cruise,tt36856455,Trainwreck: Poop Cruise,Yes,2025-06-24,20800000,0:55,22700000,Trainwreck: Poop Cruise,2025.0,movie,Trainwreck: Poop Cruise,Trainwreck: Poop Cruise,2025,55,Documentary
67,Ma,tt7958736,Ma (2019),No,,37100000,1:39,22500000,Ma,2019.0,movie,Ma,Ma,2019,99,"Horror,Mystery,Thriller"
68,Leo,tt5755238,Leo,Yes,2023-11-21,39700000,1:47,22300000,Leo,2023.0,movie,Leo,Leo,2023,102,"Adventure,Animation,Comedy"
69,Delicious,tt32047217,Delicious,Yes,2025-03-07,37700000,1:42,22200000,Delicious,2025.0,movie,Delicious,Delicious,2025,102,"Drama,Thriller"
70,Trolls,tt1679335,Trolls,No,,34200000,1:33,22100000,Trolls,1000.0,movie,Trolls,Trolls,2016,92,"Adventure,Animation,Comedy"
71,The Heart Knows,tt33244550,The Heart Knows // Corazn Delator,No,2025-05-30,32600000,1:29,22000000,The Heart Knows,2025.0,movie,The Heart Knows,Corazón delator,2025,89,"Comedy,Drama,Romance"
72,Plane,tt5884796,Plane,No,,39100000,1:47,21900000,Plane,1000.0,movie,Plane,Plane,2023,107,"Action,Adventure,Thriller"
73,The SpongeBob Movie: Sponge Out of Water,tt2279373,The SpongeBob Movie: Sponge Out of Water,No,,34900000,1:36,21800000,The SpongeBob Movie: Sponge Out of Water,1000.0,movie,The SpongeBob Movie: Sponge Out of Water,The SpongeBob Movie: Sponge Out of Water,2015,92,"Adventure,Animation,Comedy"
74,Hotel Transylvania,tt0837562,Hotel Transylvania (2012),No,,32700000,1:32,21300000,Hotel Transylvania,2012.0,movie,Hotel Transylvania,Hotel Transylvania,2012,91,"Animation,Comedy,Family"
75,Sonic the Hedgehog 2,tt12412888,Sonic the Hedgehog 2,No,,43400000,2:04,21000000,Sonic the Hedgehog 2,1000.0,movie,Sonic the Hedgehog 2,Sonic the Hedgehog 2,2022,122,"Action,Adventure,Comedy"
3,Bogot: City of the Lost,tt22507374,Bogot: City of the Lost // ___: ___ ___ _,Yes,2025-02-03,37200000,1:47,20900000,Bogot: City of the Lost,2025.0,movie,Bogota: City of the Lost,Bogota: City of the Lost,2024.0,108.0,"Crime,Drama,Thriller"
4,Bogot: City of the Lost,tt22507374,Bogot: City of the Lost // ___: ___ ___ _,Yes,2025-02-03,37200000,1:47,20900000,Bogot: City of the Lost,2025.0,movie,Bogota: City of the Lost,Bogota: City of the Lost,2024.0,108.0,"Crime,Drama,Thriller"
77,Fast X,tt5433140,Fast X,No,,48500000,2:21,20600000,Fast X,1000.0,movie,Fast X,Fast X,2023,141,"Action,Adventure,Crime"
78,The Equalizer 3,tt17024450,The Equalizer 3,No,,37400000,1:49,20600000,The Equalizer 3,1000.0,movie,The Equalizer 3,The Equalizer 3,2023,109,"Action,Crime,Thriller"
79,Damsel,tt13452446,Damsel,Yes,2024-03-08,37400000,1:50,20400000,Damsel,2024.0,movie,Damsel,Damsel,2024,110,"Action,Adventure,Fantasy"
80,Back to the Outback,tt13575806,Back to the Outback,Yes,2021-12-10,32300000,1:36,20200000,Back to the Outback,2021.0,movie,Back to the Outback,Back to the Outback,2021,95,"Adventure,Animation,Comedy"
81,Minions: The Rise of Gru,tt5113044,Minions: The Rise of Gru,No,,29500000,1:28,20100000,Minions: The Rise of Gru,1000.0,movie,Minions: The Rise of Gru,Minions: The Rise of Gru,2022,87,"Adventure,Animation,Comedy"
82,Bad Boys: Ride or Die,tt4919268,Bad Boys: Ride or Die,No,,37900000,1:56,19600000,Bad Boys: Ride or Die,1000.0,movie,Bad Boys: Ride or Die,Bad Boys: Ride or Die,2024,115,"Action,Adventure,Comedy"
83,Norbit,tt0477051,Norbit,No,,33600000,1:43,19600000,Norbit,1000.0,movie,Norbit,Norbit,2007,102,"Comedy,Romance"
84,Woody Woodpecker Goes to Camp,tt20221690,Woody Woodpecker Goes to Camp,Yes,2024-04-12,32600000,1:40,19600000,Woody Woodpecker Goes to Camp,2024.0,movie,Woody Woodpecker Goes to Camp,Woody Woodpecker Goes to Camp,2024,100,"Adventure,Animation,Comedy"
85,Under Paris,tt13964390,Under Paris // Sous la Seine,Yes,2024-06-05,33500000,1:44,19300000,Under Paris,2024.0,movie,Under Paris,Sous la Seine,2024,104,"Action,Drama,Horror"
86,Dungeons & Dragons: Honor Among Thieves,tt2906216,Dungeons & Dragons: Honor Among Thieves,No,,42900000,2:14,19200000,Dungeons & Dragons: Honor Among Thieves,1000.0,movie,Dungeons & Dragons: Honor Among Thieves,Dungeons & Dragons: Honor Among Thieves,2023,134,"Action,Adventure,Comedy"
87,Twilight,tt1099212,Twilight (2008),No,,38900000,2:02,19100000,Twilight,2008.0,movie,Twilight,Twilight,2008,122,"Drama,Fantasy,Romance"
88,White Chicks,tt0381707,White Chicks,No,,34400000,1:49,18900000,White Chicks,1000.0,movie,White Chicks,White Chicks,2004,109,"Comedy,Crime"
89,Saving Bikini Bottom: The Sandy Cheeks Movie,tt23063732,Saving Bikini Bottom: The Sandy Cheeks Movie,Yes,2024-08-02,27300000,1:27,18800000,Saving Bikini Bottom: The Sandy Cheeks Movie,2024.0,movie,Saving Bikini Bottom: The Sandy Cheeks Movie,Saving Bikini Bottom: The Sandy Cheeks Movie,2024,82,"Adventure,Animation,Comedy"
90,Grown Ups 2,tt2191701,Grown Ups 2,No,,31100000,1:41,18500000,Grown Ups 2,1000.0,movie,Grown Ups 2,Grown Ups 2,2013,101,Comedy
93,It Ends With Us,tt10655524,It Ends With Us,No,,40200000,2:11,18400000,It Ends With Us,1000.0,movie,It Ends with Us,It Ends with Us,2024,130,"Drama,Romance"
94,Trigger Warning,tt5834874,Trigger Warning,Yes,2024-06-21,32900000,1:47,18400000,Trigger Warning,2024.0,movie,Trigger Warning,Trigger Warning,2024,106,"Action,Crime,Thriller"
92,Alpha,tt4244998,Alpha (2018),No,,29700000,1:37,18400000,Alpha,2018.0,movie,Alpha,Alpha,2018,96,"Adventure,Drama"
91,Aftermath,tt26545708,Aftermath (2024),No,,29200000,1:35,18400000,Aftermath,2024.0,movie,Aftermath,Aftermath,2024,97,"Action,Thriller"
95,Dhoom Dhaam,tt21194868,Dhoom Dhaam // ___ ___,Yes,2025-02-14,33100000,1:49,18200000,Dhoom Dhaam,2025.0,movie,Dhoom Dhaam,Dhoom Dhaam,2025,108,"Action,Comedy,Romance"
96,Revelations,tt32648798,Revelations // ___,Yes,2025-03-21,36600000,2:02,18000000,Revelations,2025.0,movie,Revelations,Gyesirok,2025,122,"Crime,Drama,Mystery"
98,Life or Something Like It,tt0282687,Life or Something Like It,No,,31000000,1:44,17900000,Life or Something Like It,1000.0,movie,Life or Something Like It,Life or Something Like It,2002,103,"Comedy,Romance"
5,Dr. Seuss' The Cat in the Hat,tt0312528,Dr. Seuss' The Cat in the Hat,No,,24400000,1:22,17900000,Dr. Seuss' The Cat in the Hat,1000.0,movie,The Cat in the Hat,The Cat in the Hat,2003.0,82.0,"Adventure,Comedy,Family"
99,Madagascar: Escape 2 Africa,tt0479952,Madagascar: Escape 2 Africa,No,,26800000,1:31,17700000,Madagascar: Escape 2 Africa,1000.0,movie,Madagascar: Escape 2 Africa,Madagascar: Escape 2 Africa,2008,89,"Adventure,Animation,Comedy"
100,Migration,tt6495056,Migration,No,,24300000,1:23,17600000,Migration,1000.0,movie,Migration,Migration,2023,83,"Adventure,Animation,Comedy"
103,Where the Crawdads Sing,tt9411972,Where the Crawdads Sing,No,,36400000,2:05,17500000,Where the Crawdads Sing,1000.0,movie,Where the Crawdads Sing,Where the Crawdads Sing,2022,125,"Drama,Mystery,Romance"
